system:index,id,temperature_2m,time,total_precipitation_sum,latitude,longitude
0,201001,282.2140927,2010-01-01 0:00:00,0.2024491783,-121.676805233989000,38.13348381
1,201002,283.6301794,2010-02-01 0:00:00,0.08466166808,-121.676805233989000,38.13348381
2,201003,284.7649395,2010-03-01 0:00:00,0.05214447649,-121.676805233989000,38.13348381
3,201004,285.6190156,2010-04-01 0:00:00,0.0663353521,-121.676805233989000,38.13348381
4,201005,288.9133131,2010-05-01 0:00:00,0.02135883639,-121.676805233989000,38.13348381
5,201006,294.003526,2010-06-01 0:00:00,4.21E-04,-121.676805233989000,38.13348381
6,201007,293.4589854,2010-07-01 0:00:00,4.74E-05,-121.676805233989000,38.13348381
7,201008,292.9194458,2010-08-01 0:00:00,6.64E-04,-121.676805233989000,38.13348381
8,201009,294.4813142,2010-09-01 0:00:00,1.67E-04,-121.676805233989000,38.13348381
9,201010,291.004299,2010-10-01 0:00:00,0.05340166131,-121.676805233989000,38.13348381
10,201011,285.192388,2010-11-01 0:00:00,0.05455320683,-121.676805233989000,38.13348381
11,201012,283.2372108,2010-12-01 0:00:00,0.1374926758,-121.676805233989000,38.13348381
12,201001,282.1723368,2010-01-01 0:00:00,0.2010905053,-121.586973705577000,38.13348381
13,201002,283.6763976,2010-02-01 0:00:00,0.08630231573,-121.586973705577000,38.13348381
14,201003,284.8757294,2010-03-01 0:00:00,0.05346829565,-121.586973705577000,38.13348381
15,201004,285.7997665,2010-04-01 0:00:00,0.06714461926,-121.586973705577000,38.13348381
16,201005,289.1998686,2010-05-01 0:00:00,0.02132100234,-121.586973705577000,38.13348381
17,201006,294.4448861,2010-06-01 0:00:00,3.55E-04,-121.586973705577000,38.13348381
18,201007,293.9458596,2010-07-01 0:00:00,4.01E-05,-121.586973705577000,38.13348381
19,201008,293.2788418,2010-08-01 0:00:00,9.83E-04,-121.586973705577000,38.13348381
20,201009,294.765993,2010-09-01 0:00:00,1.66E-04,-121.586973705577000,38.13348381
21,201010,291.2081512,2010-10-01 0:00:00,0.05789848903,-121.586973705577000,38.13348381
22,201011,285.100214,2010-11-01 0:00:00,0.05788500217,-121.586973705577000,38.13348381
23,201012,283.2237725,2010-12-01 0:00:00,0.1413646234,-121.586973705577000,38.13348381
24,201001,282.1445179,2010-01-01 0:00:00,0.1998390313,-121.497142177165000,38.13348381
25,201002,283.6472722,2010-02-01 0:00:00,0.09015124097,-121.497142177165000,38.13348381
26,201003,284.8630656,2010-03-01 0:00:00,0.05531666549,-121.497142177165000,38.13348381
27,201004,285.8194931,2010-04-01 0:00:00,0.07057665471,-121.497142177165000,38.13348381
28,201005,289.3981869,2010-05-01 0:00:00,0.02217686543,-121.497142177165000,38.13348381
29,201006,294.9162538,2010-06-01 0:00:00,3.11E-04,-121.497142177165000,38.13348381
30,201007,294.4596968,2010-07-01 0:00:00,3.42E-05,-121.497142177165000,38.13348381
31,201008,293.6439816,2010-08-01 0:00:00,0.001449274353,-121.497142177165000,38.13348381
32,201009,295.0242205,2010-09-01 0:00:00,1.78E-04,-121.497142177165000,38.13348381
33,201010,291.322829,2010-10-01 0:00:00,0.06237053612,-121.497142177165000,38.13348381
34,201011,284.9597002,2010-11-01 0:00:00,0.06288745609,-121.497142177165000,38.13348381
35,201012,283.1780185,2010-12-01 0:00:00,0.1461816621,-121.497142177165000,38.13348381
36,201001,282.122834,2010-01-01 0:00:00,0.1987044569,-121.407310648753000,38.13348381
37,201002,283.6186293,2010-02-01 0:00:00,0.09404391601,-121.407310648753000,38.13348381
38,201003,284.772731,2010-03-01 0:00:00,0.05718921991,-121.407310648753000,38.13348381
39,201004,285.6880532,2010-04-01 0:00:00,0.07412006144,-121.407310648753000,38.13348381
40,201005,289.4116803,2010-05-01 0:00:00,0.02306430409,-121.407310648753000,38.13348381
41,201006,295.2347922,2010-06-01 0:00:00,2.68E-04,-121.407310648753000,38.13348381
42,201007,294.9101048,2010-07-01 0:00:00,3.64E-05,-121.407310648753000,38.13348381
43,201008,293.9692058,2010-08-01 0:00:00,0.001924293569,-121.407310648753000,38.13348381
44,201009,295.2521475,2010-09-01 0:00:00,1.88E-04,-121.407310648753000,38.13348381
45,201010,291.3857044,2010-10-01 0:00:00,0.06695858875,-121.407310648753000,38.13348381
46,201011,284.6918753,2010-11-01 0:00:00,0.06797234324,-121.407310648753000,38.13348381
47,201012,283.0936403,2010-12-01 0:00:00,0.1511770678,-121.407310648753000,38.13348381
48,201001,282.0555116,2010-01-01 0:00:00,0.2127194013,-121.676805233989000,38.22331534
49,201002,283.4206981,2010-02-01 0:00:00,0.08723746791,-121.676805233989000,38.22331534
50,201003,284.6181716,2010-03-01 0:00:00,0.05348540218,-121.676805233989000,38.22331534
51,201004,285.535761,2010-04-01 0:00:00,0.06942913119,-121.676805233989000,38.22331534
52,201005,288.999626,2010-05-01 0:00:00,0.02196957538,-121.676805233989000,38.22331534
53,201006,294.4025358,2010-06-01 0:00:00,4.45E-04,-121.676805233989000,38.22331534
54,201007,293.8994991,2010-07-01 0:00:00,4.49E-05,-121.676805233989000,38.22331534
55,201008,293.187247,2010-08-01 0:00:00,7.71E-04,-121.676805233989000,38.22331534
56,201009,294.7886682,2010-09-01 0:00:00,3.24E-04,-121.676805233989000,38.22331534
57,201010,290.9851615,2010-10-01 0:00:00,0.05588413516,-121.676805233989000,38.22331534
58,201011,285.1107582,2010-11-01 0:00:00,0.05778972414,-121.676805233989000,38.22331534
59,201012,283.0280558,2010-12-01 0:00:00,0.146227215,-121.676805233989000,38.22331534
60,201001,282.0565826,2010-01-01 0:00:00,0.2111083921,-121.586973705577000,38.22331534
61,201002,283.5337003,2010-02-01 0:00:00,0.08877546146,-121.586973705577000,38.22331534
62,201003,284.8084858,2010-03-01 0:00:00,0.0551256177,-121.586973705577000,38.22331534
63,201004,285.7893797,2010-04-01 0:00:00,0.07178673331,-121.586973705577000,38.22331534
64,201005,289.3056208,2010-05-01 0:00:00,0.02224035928,-121.586973705577000,38.22331534
65,201006,294.7247092,2010-06-01 0:00:00,4.09E-04,-121.586973705577000,38.22331534
66,201007,294.2590736,2010-07-01 0:00:00,3.73E-05,-121.586973705577000,38.22331534
67,201008,293.4710356,2010-08-01 0:00:00,0.00110969179,-121.586973705577000,38.22331534
68,201009,295.064661,2010-09-01 0:00:00,3.25E-04,-121.586973705577000,38.22331534
69,201010,291.2315992,2010-10-01 0:00:00,0.0604518626,-121.586973705577000,38.22331534
70,201011,285.0581052,2010-11-01 0:00:00,0.0620573422,-121.586973705577000,38.22331534
71,201012,283.0122601,2010-12-01 0:00:00,0.1504643006,-121.586973705577000,38.22331534
